iter	Passed	Remaining
0	136	135995
1	137	68664
2	138	46070
3	139	34811
4	140	27956
5	141	23376
6	142	20155
7	143	17808
8	145	16043
9	147	14553
10	147	13253
11	148	12209
12	150	11398
13	150	10626
14	151	9969
15	152	9363
16	152	8827
17	153	8348
18	153	7921
19	153	7537
20	154	7188
21	154	6871
22	155	6588
23	155	6325
24	155	6082
25	156	5858
26	156	5650
27	157	5463
28	158	5291
29	158	5135
30	159	4993
31	160	4851
32	160	4711
33	161	4586
34	161	4464
35	162	4348
36	163	4242
37	163	4143
38	164	4045
39	164	3952
40	165	3863
41	165	3780
42	166	3700
43	166	3624
44	167	3551
45	167	3481
46	168	3414
47	168	3351
48	169	3289
49	169	3229
50	170	3170
51	170	3116
52	171	3064
53	172	3013
54	172	2964
55	173	2918
56	174	2881
57	174	2837
58	175	2793
59	175	2752
60	176	2711
61	176	2673
62	177	2637
63	177	2602
64	178	2566
65	178	2532
66	179	2500
67	180	2467
68	180	2435
69	181	2406
70	181	2376
71	182	2348
72	182	2319
73	183	2293
74	183	2267
75	184	2242
76	185	2217
77	185	2193
78	186	2170
79	186	2146
80	187	2123
81	187	2101
82	187	2076
83	188	2055
84	188	2034
85	189	2014
86	190	1994
87	190	1974
88	191	1955
89	191	1937
90	192	1919
91	192	1902
92	193	1885
93	193	1868
94	194	1850
95	194	1834
96	195	1817
97	195	1801
98	196	1786
99	196	1771
100	197	1756
101	197	1742
102	198	1728
103	199	1715
104	199	1701
105	200	1689
106	200	1676
107	201	1663
108	201	1650
109	202	1639
110	203	1627
111	203	1614
112	204	1602
113	204	1591
114	205	1581
115	206	1571
116	206	1559
117	207	1548
118	207	1537
119	208	1527
120	208	1517
121	209	1505
122	209	1496
123	210	1486
124	211	1477
125	211	1467
126	211	1457
127	212	1448
128	213	1438
129	213	1429
130	214	1420
131	214	1412
132	215	1405
133	216	1396
134	216	1389
135	217	1380
136	217	1373
137	218	1364
138	219	1356
139	219	1348
140	220	1340
141	220	1332
142	221	1324
143	221	1317
144	222	1310
145	222	1302
146	223	1295
147	223	1288
148	224	1281
149	224	1273
150	225	1267
151	225	1260
152	226	1254
153	227	1247
154	227	1241
155	228	1234
156	228	1228
157	229	1222
158	229	1216
159	230	1210
160	230	1203
161	231	1198
162	232	1192
163	232	1186
164	233	1181
165	234	1175
166	234	1170
167	235	1164
168	235	1158
169	236	1153
170	236	1147
171	237	1142
172	237	1137
173	238	1131
174	238	1126
175	239	1121
176	239	1115
177	240	1112
178	241	1106
179	242	1103
180	242	1098
181	243	1093
182	243	1088
183	244	1083
184	244	1078
185	245	1073
186	245	1068
187	246	1064
188	247	1061
189	247	1056
190	248	1051
191	248	1047
192	249	1042
193	249	1038
194	250	1033
195	250	1029
196	251	1024
197	251	1020
198	252	1015
199	253	1012
200	253	1008
201	254	1004
202	254	1000
203	255	996
204	255	992
205	256	988
206	256	984
207	257	980
208	257	976
209	258	972
210	259	969
211	260	966
212	260	963
213	261	959
214	261	956
215	262	952
216	263	949
217	263	945
218	264	942
219	264	939
220	265	937
221	266	934
222	267	932
223	268	928
224	268	925
225	269	922
226	269	919
227	270	916
228	271	913
229	272	911
230	272	908
231	273	905
232	274	902
233	274	899
234	275	896
235	276	894
236	276	891
237	277	888
238	278	886
239	279	885
240	280	882
241	280	879
242	281	877
243	282	874
244	282	871
245	283	869
246	284	866
247	284	863
248	285	860
249	285	857
250	286	854
251	287	852
252	287	849
253	288	846
254	288	844
255	289	841
256	290	840
257	291	838
258	292	836
259	293	834
260	294	832
261	294	830
262	295	827
263	296	825
264	297	823
265	297	821
266	298	819
