iter	Passed	Remaining
0	0	62
1	1	60
2	1	56
3	2	52
4	2	51
5	3	49
6	3	49
7	4	49
8	4	47
9	5	46
10	5	45
11	6	45
12	6	44
13	7	44
14	7	44
15	8	44
16	9	44
17	9	43
18	10	43
19	10	43
20	11	43
21	12	42
22	12	42
23	13	42
24	14	42
25	14	41
26	15	41
27	15	40
28	16	40
29	17	40
30	17	39
31	18	39
32	19	38
33	19	38
34	20	38
35	21	37
36	21	37
37	22	36
38	23	36
39	23	35
40	24	35
41	24	34
42	25	33
43	25	32
44	26	32
45	27	31
46	27	31
47	28	30
48	28	30
49	29	29
50	30	28
51	30	28
52	31	27
53	31	27
54	32	26
55	32	25
56	33	25
57	33	24
58	34	23
59	35	23
60	35	22
61	36	22
62	36	21
63	37	20
64	37	20
65	38	19
66	39	19
67	39	18
68	40	18
69	40	17
70	41	16
71	42	16
72	42	15
73	43	15
74	43	14
75	44	14
76	45	13
77	45	12
78	46	12
79	47	11
80	47	11
81	48	10
82	49	10
83	49	9
84	50	8
85	51	8
86	51	7
87	52	7
88	53	6
89	53	5
90	54	5
91	55	4
92	55	4
93	56	3
94	57	3
95	57	2
96	58	1
97	59	1
98	59	0
99	60	0
